name,album,artist,artist_top_genre,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Gender ,Source 
Sparky,Mandy & The Jungle,Cruel Santino,alternative r&b,2019,144000,48,0.666,0.851,0.42,0.534,0.11,-6.699,0.0829,133.015,5,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
shuga rush,EVERYTHING YOU HEARD IS TRUE,Odunsi (The Engine),afropop,2020,89488,30,0.71,0.0822,0.683,0.000169,0.101,-5.64,0.36,129.993,3,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
LITT!,LITT!,AYLØ,indie r&b,2018,207758,40,0.836,0.272,0.564,0.000537,0.11,-7.127,0.0424,130.005,4,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
Confident / Feeling Cool,Enjoy Your Life,Lady Donli,nigerian pop,2019,175135,14,0.894,0.798,0.611,0.000187,0.0964,-4.961,0.113,111.087,4,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
wanted you,rare.,Odunsi (The Engine),afropop,2018,152049,25,0.702,0.116,0.833,0.91,0.348,-6.044,0.0447,105.115,4,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
Kasala,Pioneers,DRB Lasgidi,nigerian pop,2020,184800,26,0.803,0.127,0.525,6.69E-06,0.129,-10.034,0.197,100.103,4,Male,https://www.google.com/search?q=2Baba&oq=2Baba+&aqs=chrome..69i57j0i67j46i67j0i512l2j46i512l2j0i512j46i512j0i512.2676j0j9&sourceid=chrome&ie=UTF-8
Pull Up,Everything Pretty,prettyboydo,nigerian pop,2018,202648,29,0.818,0.452,0.587,0.00449,0.59,-9.84,0.199,95.842,4,Male,https://www.google.com/search?q=9ice+artist&oq=9ice+artist&aqs=chrome..69i57j0i22i30l4.3735j0j4&sourceid=chrome&ie=UTF-8
take a break,rare.,Odunsi (The Engine),afropop,2018,141933,27,0.808,0.608,0.3,4.80E-05,0.0863,-11.213,0.0453,119.964,4,Male,https://www.google.com/search?q=9ice+artist&oq=9ice+artist&aqs=chrome..69i57j0i22i30l4.3735j0j4&sourceid=chrome&ie=UTF-8
Cash,Enjoy Your Life,Lady Donli,nigerian pop,2019,187714,36,0.846,0.214,0.669,0.467,0.0857,-7.822,0.0441,115.008,4,Male,https://www.google.com/search?q=9ice+artist&oq=9ice+artist&aqs=chrome..69i57j0i22i30l4.3735j0j4&sourceid=chrome&ie=UTF-8
SATISFIED,GEMINI,Tay Iwar,alternative r&b,2019,123082,30,0.555,0.912,0.295,0.275,0.0967,-11.038,0.036,77.033,4,Male,https://www.google.com/search?q=adekunle+gold&oq=Adekunle+gold&aqs=chrome.0.0i355i433i512j46i433i512j46i512j0i131i433i512j46i512j0i512l2j46i512j0i512l2.2944j0j9&sourceid=chrome&ie=UTF-8
